A,C,D,E
1507611,9,0,0
1510741,43,0,0
1507998,18,0,0
1509178,2,0,0
1500004,26,2,-0.4
1500024,13,0,0
1500365,25,43,0.8
1518941,43,2,0
1518861,138,6,-1.1
1518865,26,0,0
1518897,40,0,0
1518702,57,0,0
1519135,15,0,0
1519252,3,1,0.1
1526650,30,0,0
1527173,29,0,0
1526642,9,0,0
1526725,12,0,0
1527026,58,9,-1.3
1527181,86,0,0
1526745,19,0,0
1531003,78,0,0
1539012,42,19,-0.1
1539179,6,0,0
1538618,3,0,0
1539069,11,0,0
1511148,64,0,0
1513031,68,38,-1.9
1512877,69,6,-0.1
1513239,66,0,0
1513128,122,2,0
1512937,46,0,0
1513201,30,6,-1
1513203,39,0,0
1513324,13,2,0.1
1513382,21,0,0
1513213,26,0,0
1513629,111,4,0.4
1513639,38,0,0
1513694,86,2,-0.2
1513416,7,0,0
1514035,83,1,-0.1
1513719,48,30,0.7
1513721,102,0,0
1513837,84,0,0
1514050,16,0,0
1514053,6,0,0
1514056,54,7,0.3
1513853,5,0,0
1513816,79,3,0.3
1513779,24,0,0
1513121,24,0,0
1513942,85,16,0.6
1513961,104,0,0
1514116,73,0,0
1513972,75,0,0
1514444,10,1,0.1
1514163,78,1,0.1
1514164,12,0,0
1514357,90,4,0.1
1514371,152,1,0.1
1514425,67,0,0
1514580,220,2,-0.4
1514531,42,2,-0.2
1514395,100,4,-0.6
1514544,103,3,0.3
1514260,14,0,0
1514261,64,2,-0.4
1514422,23,0,0
1514882,41,0,0
1514883,43,0,0
1514626,4,0,0
1513616,2,0,0
1515140,43,4,0.4
1514275,61,0,0
1514283,56,0,0
1515678,38,0,0
1515572,74,0,0
1515587,60,0,0
1514790,177,0,0
1516003,71,1,-0.2
1516527,31,0,0
1516107,55,2,-0.3
1516586,15,1,0
1515845,9,0,0
1516340,23,0,0
1516695,55,0,0
1518765,41,0,0
1518602,81,0,0
1518844,14,0,0
1518939,5,0,0
1518703,99,0,0
1518878,8,0,0
1519023,3,0,0
1518916,83,2,-0.4
1518812,59,0,0
1513025,7,0,0
1513141,9,0,0
1513263,27,0,0
1513283,6,0,0
1513188,98,1,0
1513649,43,0,0
1513197,20,0,0
1513313,4,0,0
1513671,26,0,0
1513684,14,0,0
1513687,21,0,0
1513692,27,0,0
1513077,43,0,0
1513884,25,0,0
1513730,40,2,0
1513107,19,3,0
1513854,32,0,0
1513108,101,0,0
1513858,48,0,0
1513110,86,0,0
1513116,43,0,0
1513875,41,0,0
1513923,47,0,0
1513936,53,4,-0.2
1513939,70,14,-0.5
1514017,103,7,-0.9
1514457,35,0,0
1514118,37,0,0
1513967,32,0,0
1514126,21,0,0
1514433,21,11,-1.2
1514436,55,0,0
1514437,12,0,0
1514490,93,1,0.1
1513572,57,0,0
1514503,40,3,-0.4
1512964,10,0,0
1514429,19,1,-0.1
1512611,34,0,0
1514381,37,13,-0.5
1514520,47,33,-0.6
1512973,52,0,0
1514390,5,0,0
1512981,9,0,0
1514245,67,0,0
1514253,6,0,0
1514254,12,0,0
1514550,30,0,0
1514268,5,0,0
1513006,10,0,0
1514206,101,4,-0.8
1513596,16,0,0
1514229,4,0,0
1515248,10,0,0
1514315,58,0,0
1515022,6,0,0
1515969,87,0,0
1516469,85,0,0
1516327,99,0,0
1516338,87,14,-1.3
1518918,27,0,0
1518652,8,0,0
1518888,31,0,0
1539536,41,0,0
1540168,27,0,0
1540512,45,0,0
1540541,25,3,-0.3
1540547,31,1,0.1
1539846,80,0,0
1540343,10,0,0
1539585,10,3,0.3
1539605,1,0,0
1540428,17,0,0
1539608,49,1,0.1
1539611,16,0,0
1540634,55,0,0
1540656,13,1,-0.1
1541170,11,0,0
1540968,1,0,0
1541364,2,0,0
1541074,20,0,0
1541384,24,0,0
1540970,54,0,0
1541105,48,8,-0.1
1540933,9,0,0
1540990,15,0,0
1541148,58,1,0.1
1541348,37,8,0.8
1542265,62,0,0
1541461,59,1,0
1542439,9,0,0
1541434,32,3,-0.1
1542970,12,0,0
1542971,24,0,0
1543231,7,0,0
1543758,65,0,0
1543830,28,16,-2
1544173,91,0,0
1544396,38,1,0.1
1544267,32,9,-1.1
1544413,72,0,0
1544373,5,0,0
1541876,24,0,0
1544753,30,0,0
1544757,13,0,0
1543656,63,0,0
1544771,62,0,0
1544814,36,12,-1.2
1544787,18,0,0
1544702,63,0,0
1544969,66,4,-0.6
1544044,145,1,-0.1
1544797,14,0,0
1545008,71,14,-0.1
1544857,35,0,0
1545069,21,0,0
1544542,17,0,0
1544904,41,7,-0.4
1545091,3,0,0
1545063,3,0,0
1545097,29,0,0
1545106,2,0,0
1545599,29,0,0
1539131,75,1,0.1
1546130,65,0,0
1546098,4,0,0
1546351,20,0,0
1546151,9,0,0
1546480,4,17,-1.6
1545994,10,3,0.2
1546373,7,0,0
1546404,3,0,0
1547015,52,1,-0.2
1546964,28,5,-0.3
1546829,40,0,0
1547178,37,0,0
1547360,17,0,0
1546452,13,0,0
1547237,27,0,0
1546678,46,0,0
1547206,23,3,0
1547245,31,0,0
1547509,2,0,0
1547457,6,0,0
1547999,122,40,-2.3
1548406,46,0,0
1548149,8,0,0
1547980,14,0,0
1548499,72,0,0
1548848,31,0,0
1548078,82,0,0
1548092,25,0,0
1559795,13,0,0
1560243,21,0,0
1560434,69,0,0
1560315,10,18,0.6
1560276,21,0,0
1560761,2,0,0
1560168,5,0,0
1560363,20,0,0
1561216,14,12,0.2
1561446,21,0,0
1561462,30,0,0
1561709,69,0,0
1562485,79,0,0
1562364,20,0,0
1562376,7,0,0
1562657,4,0,0
1563155,64,1,-0.1
1563113,48,0,0
1563697,72,0,0
1563705,11,0,0
1563555,13,0,0
1563838,50,2,0.1
1563887,71,0,0
1563848,83,0,0
1563742,48,2,-0.4
1563920,35,0,0
1563767,13,9,-0.9
1564041,26,0,0
1563797,50,0,0
1564055,34,0,0
1564065,13,0,0
1563816,57,0,0
1563942,16,2,-0.3
1564143,70,0,0
1564274,15,0,0
1564275,27,0,0
1564282,11,0,0
1564185,23,0,0
1564298,8,0,0
1564128,65,7,-0.8
1564133,31,0,0
1564212,7,0,0
1564330,50,0,0
1564074,77,0,0
1564892,42,21,0.5
1564097,53,34,1.3
1563454,116,0,0
