Name,Rank,Web of Science Documents,Times Cited,% Docs Cited,Category Normalized Citation Impact
USA,1,8051,102894,91.88920631,1.532982623
UNITED KINGDOM,2,873,20605,96.21993127,2.697565292
ENGLAND,3,831,19692,96.26955475,2.707883995
CHINA MAINLAND,4,1359,17342,93.08314937,1.553675276
GERMANY (FED REP GER),5,687,16796,96.65211063,2.828980204
FRANCE,6,544,13685,95.95588235,2.754170956
CANADA,7,419,9211,96.18138425,2.550786158
AUSTRALIA,8,335,8868,96.11940299,2.925725373
JAPAN,9,326,8691,94.78527607,2.894152761
SWITZERLAND,10,244,8013,98.36065574,3.44965123
NETHERLANDS,11,215,7093,98.13953488,3.863447907
ITALY,12,256,6461,92.96875,2.717851953
SWEDEN,13,182,5121,97.8021978,3.066288462
NORWAY,14,213,4773,98.12206573,2.348418779
SPAIN,15,217,4294,94.93087558,2.403986175
AUSTRIA,16,123,3942,97.56097561,3.291522764
SOUTH KOREA,17,226,3445,93.36283186,1.904319912
BELGIUM,18,109,3177,93.57798165,3.358524771
NEW ZEALAND,19,76,2359,100,2.895727632
RUSSIA,20,71,2298,94.36619718,2.759280282
INDIA,21,191,2249,92.67015707,1.616705236
FINLAND,22,90,2091,93.33333333,2.494774444
SCOTLAND,23,66,1808,98.48484848,2.666769697
DENMARK,24,72,1568,93.05555556,2.923176389
CHILE,25,66,1434,98.48484848,2.336737879
IRELAND,26,29,1393,96.55172414,4.968541379
GREECE,27,58,1213,87.93103448,2.332303448
TAIWAN,28,134,1167,90.29850746,0.970233582
BRAZIL,29,87,1053,94.25287356,1.562275862
SOUTH AFRICA,30,54,808,90.74074074,1.81387037
PORTUGAL,31,40,763,95,2.6240975
WALES,32,27,762,92.59259259,3.559422222
SAUDI ARABIA,33,55,723,94.54545455,1.788945455
SINGAPORE,34,49,689,93.87755102,1.447557143
ARGENTINA,35,38,651,100,1.683431579
HONG KONG,36,47,596,95.74468085,1.874808511
CZECH REPUBLIC,37,28,584,92.85714286,2.543578571
ISRAEL,38,51,573,96.07843137,1.500615686
POLAND,39,34,509,94.11764706,1.889997059
UNITED ARAB EMIRATES,40,34,456,88.23529412,1.652941176
MEXICO,41,44,351,86.36363636,0.911697727
PERU,42,13,303,92.30769231,2.618546154
THAILAND,43,19,286,84.21052632,1.500194737
TURKEY,44,28,274,82.14285714,1.818082143
HUNGARY,45,14,242,92.85714286,2.00815
INDONESIA,46,12,212,100,1.62555
COLOMBIA,47,22,210,90.90909091,1.2815
SENEGAL,48,13,187,92.30769231,1.398015385
CYPRUS,49,9,185,88.88888889,2.366488889
PAKISTAN,50,11,182,90.90909091,1.880072727
IRAN,51,20,160,90,1.02357
ECUADOR,52,7,159,100,3.039071429
MALAYSIA,53,7,156,100,2.329014286
NIGERIA,53,13,156,76.92307692,1.366415385
ICELAND,55,9,142,100,1.809555556
KENYA,56,8,137,100,3.7850375
MONGOLIA,57,4,119,100,3.203825
ETHIOPIA,58,10,114,100,1.14937
VIETNAM,59,10,108,90,1.12163
NORTHERN IRELAND,59,6,108,100,3.543383333
BURKINA FASO,61,6,107,100,1.589366667
NIGER,62,3,96,100,2.656666667
PHILIPPINES,63,1,90,100,6.2529
JAMAICA,64,2,88,100,4.01925
COSTA RICA,65,9,80,66.66666667,1.114555556
ESTONIA,66,4,78,75,4.97965
GHANA,67,5,77,100,1.1863
CAMEROON,68,6,76,100,1.9629
SLOVENIA,68,7,76,85.71428571,1.665957143
CROATIA,70,9,75,100,1.974077778
